"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"198","Japura-Solimoes-Negro moist forests","NT0132","Tropical Moist Forest",-65.619,-0.847,"mammal_num",189,"Species Data"
"199","Jurua-Purus moist forests","NT0133","Tropical Moist Forest",-66.861,-5.569,"mammal_num",189,"Species Data"
"200","Leeward Islands moist forests","NT0134","Tropical Moist Forest",-65.75,18.25,"mammal_num",12,"Species Data"
"201","Madeira-Tapajos moist forests","NT0135","Tropical Moist Forest",-60.267,-9.132,"mammal_num",251,"Species Data"
"202","Magdalena Valley montane forests","NT0136","Tropical Moist Forest",-74.516,5.554,"mammal_num",230,"Species Data"
"203","Magdalena-Uraba moist forests","NT0137","Tropical Moist Forest",-74.782,7.995,"mammal_num",197,"Species Data"
"204","Marajo varzea","NT0138","Tropical Moist Forest",-50.676,-0.314,"mammal_num",184,"Species Data"
"205","Maranhao Babatu forests","NT0139","Tropical Moist Forest",-43.592,-4.346,"mammal_num",133,"Species Data"
"206","Mato Grosso seasonal forests","NT0140","Tropical Moist Forest",-52.366,-9.516,"mammal_num",174,"Species Data"
"207","Monte Alegre varzea","NT0141","Tropical Moist Forest",-60.162,-4.447,"mammal_num",221,"Species Data"
"208","Napo moist forests","NT0142","Tropical Moist Forest",-75.801,-1.985,"mammal_num",243,"Species Data"
"209","Negro-Branco moist forests","NT0143","Tropical Moist Forest",-67.162,1.981,"mammal_num",213,"Species Data"
"210","Northeastern Brazil restingas","NT0144","Tropical Moist Forest",-42.083,-3.042,"mammal_num",119,"Species Data"
"211","Northwestern Andean montane forests","NT0145","Tropical Moist Forest",-77.539,2.5,"mammal_num",248,"Species Data"
"212","Oaxacan montane forests","NT0146","Tropical Moist Forest",-96.386,17.977,"mammal_num",185,"Species Data"
"213","Orinoco Delta swamp forests","NT0147","Tropical Moist Forest",-61.89,9.17,"mammal_num",192,"Species Data"
"214","Pantanos de Centla","NT0148","Tropical Moist Forest",-92.159,18.068,"mammal_num",130,"Species Data"
"215","Guianan Freshwater swamp forests","NT0149","Tropical Moist Forest",-55.75,5.6,"mammal_num",177,"Species Data"
"216","Alto Parana Atlantic forests","NT0150","Tropical Moist Forest",-51.079,-23.145,"mammal_num",213,"Species Data"
"217","Pernambuco coastal forests","NT0151","Tropical Moist Forest",-35.809,-8.397,"mammal_num",122,"Species Data"
"218","Pernambuco interior forests","NT0152","Tropical Moist Forest",-36.185,-8.54,"mammal_num",132,"Species Data"
"219","Peruvian Yungas","NT0153","Tropical Moist Forest",-75.005,-10.44,"mammal_num",255,"Species Data"
"220","Peten-Veracruz moist forests","NT0154","Tropical Moist Forest",-92.006,17.318,"mammal_num",191,"Species Data"
"221","Puerto Rican moist forests","NT0155","Tropical Moist Forest",-66.35,18.25,"mammal_num",15,"Species Data"
"222","Purus varzea","NT0156","Tropical Moist Forest",-69.441,-2.862,"mammal_num",219,"Species Data"
"223","Purus-Madeira moist forests","NT0157","Tropical Moist Forest",-63.468,-6.696,"mammal_num",183,"Species Data"
"224","Rio Negro campinarana","NT0158","Tropical Moist Forest",-64.931,0.772,"mammal_num",216,"Species Data"
"225","Santa Marta montane forests","NT0159","Tropical Moist Forest",-73.607,10.75,"mammal_num",170,"Species Data"
"226","Serra do Mar coastal forests","NT0160","Tropical Moist Forest",-47.063,-24.604,"mammal_num",175,"Species Data"
"227","Sierra de los Tuxtlas","NT0161","Tropical Moist Forest",-95.125,18.25,"mammal_num",117,"Species Data"
"228","Sierra Madre de Chiapas moist forest","NT0162","Tropical Moist Forest",-91.721,14.897,"mammal_num",148,"Species Data"
"229","Solimoes-Japura moist forest","NT0163","Tropical Moist Forest",-70.875,-2.229,"mammal_num",191,"Species Data"
"230","South Florida rocklands","NT0164","Tropical Moist Forest",-80.75,25.417,"mammal_num",36,"Species Data"
"231","Southern Andean Yungas","NT0165","Tropical Moist Forest",-64.807,-23.557,"mammal_num",161,"Species Data"
"232","Southwest Amazon moist forests","NT0166","Tropical Moist Forest",-69.77,-10.023,"mammal_num",303,"Species Data"
"233","Talamancan montane forests","NT0167","Tropical Moist Forest",-82.88,9.293,"mammal_num",204,"Species Data"
"234","Tapajos-Xingu moist forests","NT0168","Tropical Moist Forest",-54.444,-5.968,"mammal_num",179,"Species Data"
"235","Pantepuis","NT0169","Tropical Moist Forest",-64.172,4.638,"mammal_num",215,"Species Data"
"236","Tocantins/Pindare moist forests","NT0170","Tropical Moist Forest",-47.375,-3.077,"mammal_num",164,"Species Data"
