"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"76","NT0180",149.44608,0.44478,326.4,26.9,945.6,26.73333333,26.1,25.2,25.6,111.8,25.66666667,2063.2,265072,-50.728,-6.112,207.41,285.57,46.14,25.79,26.01,9,151.2252,"Xingu-Tocantins-Araguaia moist forests","Tropical Moist Forest",527,176,121,52,876
"77","NT0181",73.574025,2.07564,209.85,27.7,519.8,27.6,26.35,27.5,22.5,98.9,22.93333333,1252.3,69482,-88.789,19.221,55.04,165.14,53.06,27.67,23.32,4,57.8214,"Yucatan moist forests","Tropical Moist Forest",359,111,133,35,638
"78","NT0182",171.53682,0.51891,426.2,25.8,1198.8,25.63333333,25.15,61.7,24.3,219.3,24.46666667,2764.1,229836,-64.043,4.11,501.02,368.23,92.82,24.07,24.91,8,324.6894,"Guianan piedmont and lowland moist forests","Tropical Moist Forest",0,227,0,0,227
"79","NT0201",133.13748,0.66717,282.4,28,787.3,27.63333333,26.75,12,26,64.6,26.2,1639.5,68245,-71.617,6.317,684.5,289.2,53.95,23.48,24.39,6,96.369,"Apure-Villavicencio dry forests","Tropical Deciduous Forest",474,238,66,47,825
"80","NT0202",86.58384,0.7413,169.1,26,462.4,25.56666667,24.9,1.3,22.3,6.3,22.86666667,869.2,114660,-43.346,-12.183,524.02,137.9,12.86,25.6,23.72,9,120.0906,"Atlantic dry forests","Tropical Deciduous Forest",311,147,26,41,525
"81","NT0204",26.83506,2.89107,186.3,22.3,489.9,21.7,19.2,5,14.5,21,15.13333333,754.6,37384,-102.15,20.4,1842.1,164.17,9.96,20.43,15.16,1,163.086,"Bajio dry forests","Tropical Deciduous Forest",278,139,71,33,521
"82","NT0205",45.552885,1.70499,207.25,27.6,582.85,26.96666667,24.675,2.35,22.15,12.5,22.55,924.9,62247,-99.888,18.358,1411.98,186.79,9.22,22.37,19.39,6,507.0492,"Balsas dry forests","Tropical Deciduous Forest",264,162,143,43,612
"83","NT0206",34.76697,1.70499,122.95,17.4,337.7,17.2,16.05,1.95,12.05,9.9,12.5,562.85,72780,-65.818,-18.592,2762.75,118.26,11.51,16.86,11.83,7,808.017,"Bolivian montane dry forests","Tropical Deciduous Forest",222,175,29,25,451
"84","NT0207",58.34031,0.29652,213.05,24.3,539.25,24.2,23.875,81.4,23.35,293.8,23.46666667,1673.15,7313,-75.95,5.083,1562.2,141.88,123.57,19.94,19.71,1,163.086,"Cauca Valley dry forests","Tropical Deciduous Forest",311,176,35,7,529
"85","NT0209",144.47937,0.88956,315.65,27.9,800.15,27.58333333,26.25,3.8,25.2,19.2,25.33333333,1620.4,67773,-87.576,13.679,621.84,265.01,38.2,24.4,22.75,11,164.5686,"Central American dry forests","Tropical Deciduous Forest",330,195,99,36,660
"86","NT0210",52.002195,5.70801,119.55,27.6,330.85,27.16666667,23.05,7.6,16.2,31.7,16.93333333,706.45,786790,-62.842,-25.198,416.69,113.83,13.49,26.16,16.17,1,143.8122,"Dry Chaco","Tropical Deciduous Forest",572,193,131,57,953
"87","NT0211",97.62921,1.4826,273.2,25.7,757.2,25.3,24.05,4.3,21.3,18.8,21.73333333,1276.5,13974,-92.906,16.344,1003,270.36,29.39,23.3,20.38,1,149.0013,"Chiapas Depression dry forests","Tropical Deciduous Forest",188,160,106,33,487
"88","NT0212",79.24497,1.26021,199.1,27.5,554.5,27.13333333,26.15,17.1,21.9,79.5,22.9,1195.5,229767,-60.363,-15.894,286.98,206.26,29.57,26.77,22.79,3,87.4734,"Chiquitano dry forests","Tropical Deciduous Forest",457,209,82,55,803
"89","NT0213",92.328915,2.44629,211.15,27.6,538.6,27.46666667,25.5,26.35,22.3,98.45,22.66666667,1357.4,65745,-79.347,21.504,63.24,158.23,48.55,27.59,23.13,10,48.9258,"Cuban dry forests","Tropical Deciduous Forest",246,34,93,32,405
"90","NT0214",39.73368,1.03782,257.15,25.85,614.1,25.68333333,24.3,2.4,23.3,14.2,23.4,918.05,21187,-80.021,-1.625,304.21,156.9,40.34,25.22,24.04,4,114.9015,"Ecuadorian dry forests","Tropical Deciduous Forest",338,129,31,13,511
"91","NT0215",74.20413,1.70499,163.8,27.2,423.7,27.06666667,25.725,29.1,23.7,100.65,23.96666667,1083.2,15446,-72.107,18.875,382.75,112.83,56.29,25.68,22.54,7,158.6382,"Hispaniolan dry forests","Tropical Deciduous Forest",214,20,117,30,381
